date,week,city,state_prov,current_county_region,latitude,longitude,cases,deaths,link,vessel,canal connection,,cfr
8-Jun,0,Quebec,Lower Canada,Capitale-Nationale,46.81275278,-71.21522222,,,,,,,
9-Jun,1,Montreal,Lower Canada,Montreal,45.54732778,-73.64176389,,,Quebec,steamboat,,,
11-Jun,1,La Prairie,Lower Canada,Monteregie,45.40777222,-73.49771667,55,24,,,,,43.64%
12-Jun,1,St. John's,Newfoundland,,47.576675,-52.70097222,59,11,,,,,18.64%
13-Jun,1,Fort Miller,NY,Washington,43.16096389,-73.57781389,,3,Montreal,canal boat1,boat,,
13-Jun,1,Plattsburgh,NY,Clinton,44.69948611,-73.45236389,,,Montreal,,,,
13-Jun,1,Burlington,VT,Chittenden,44.46666667,-73.21203611,,,Montreal,,,,
14-Jun,1,Phoenix (steam boat),Lake Champlain,,44.544125,-73.34181111,,,Montreal,,,,
15-Jun,2,Whitehall,NY,Washington,43.55596389,-73.40341111,,,,,,,
15-Jun,2,Fort Ann,NY,Washington,43.41429444,-73.48773056,,,Montreal,canal boat1,boat,,
16-Jun,2,Prescott,Upper Canada,Leeds and Grenville,44.71074444,-75.51313611,,,,,,,
18-Jun,2,Mechanicville,NY,Saratoga,42.90288333,-73.68737778,,,Montreal,,,,
18-Jun,2,Ogdensburgh,NY,St. Lawrence,44.69389444,-75.48618056,,,,,,,
19-Jun,2,Berthier (now Berthierville),Lower Canada,D'Autray,46.09199444,-73.18990833,,,,,,,
19-Jun,2,La Chine,Lower Canada,Montreal,45.49544722,-73.5673,,,,,,,
20-Jun,2,Brockville,Upper Canada,Leeds and Grenville,44.58955,-75.68514722,,,,,,,
20-Jun,2,Kingston,Upper Canada,Frontenac,44.22908333,-76.47967222,165,52,,,,,31.52%
21-Jun,2,Rouse's Point,NY,Clinton,44.99370556,-73.3647,,,Quebec,,,,
21-Jun,2,Cornwall,Upper Canada,"Stormont, Dundas and Glengarry",45.01826389,-74.72859167,,,,,,,
24-Jun,3,York (Toronto),Upper Canada,Toronto,43.66864722,-79.39008889,,,,,,,
24-Jun,3,"""Mouth of Chateauguay River""",,Monteregie,45.35553056,-73.75894444,,12,,,,,
26-Jun,3,Erie,PA,Erie,42.13039167,-80.08556389,,,Montreal,,,,
26-Jun,3,Port Hope,Upper Canada,Northumberland,43.95179722,-78.291875,,,,,,,
27-Jun,3,Cobourg,Upper Canada,Northumberland,43.96049444,-78.16528056,,,,,,,
28-Jun,3,Bradford,Upper Canada,Simcoe,44.11411111,-79.56480833,,,,,,,
29-Jun,4,Chambly,Upper Canada,Monteregie,45.44783889,-73.28691667,,,,,,,
30-Jun,4,New York (Manhattan),NY,New York,40.71443611,-74.00552778,,,,,,,
1-Jul,4,Bellvue Alms House (north of Manhattan at the time),,,40.73759722,-73.97542222,,,,,,,
3-Jul,4,Albany,NY,Albany,42.65253056,-73.75625,,,,,,,
4-Jul,4,West Troy (now Watervliet),NY,Albany,42.72988889,-73.70126111,,,,,,,
4-Jul,4,Henry Clay (steam boat),Lake Erie,,42.08021667,-81.35260833,,,Albany,,,,
6-Jul,5,Detroit,MI,Wayne,42.33112222,-83.04582222,60,30,Henry Clay,Henry Clay (steamer),,,50.00%
8-Jul,5,Kingston,NY,Ulster,41.92704722,-73.99734167,,,,,,,
8-Jul,5,Newark,NJ,Essex,40.73565,-74.17232778,,,,,,,
8-Jul,5,Williamsburgh,NJ,King's,40.71421667,-73.95349167,,,,,,,
11-Jul,5,New Haven,CT,New Haven,41.30815833,-72.92828056,,,New York,,,,
11-Jul,5,Canal between Millstone and Griggstown,NJ,Mercer/Somerset,40.35354167,-74.62810556,,,,,yes,,
11-Jul,5,Troy,NY,Rensselaer,42.72824167,-73.69170833,,,,,,,
12-Jul,5,Schenectady,NY,Schenectady,42.81425,-73.93959167,,,Albany,,,,
12-Jul,5,Rochester,NY,Monroe,43.15541944,-77.61523333,243,68,Albany,,yes,,27.98%
15-Jul,6,Buffalo,NY,Erie,42.88618611,-78.87807778,,,,,yes,,
17-Jul,6,Sing Sing (prison),NY,Westchester,41.15224167,-73.86866944,236,72,,,,,30.51%
17-Jul,6,Syracuse,NY,Onondaga,43.04796667,-76.14764444,,,,,,,
18-Jul,6,Brooklyn,NY,King's,40.69466389,-73.98974444,,,,,,,
19-Jul,6,Lockport,NY,Niagara,43.17601111,-78.69112222,,2,,,,,
22-Jul,7,Frankfort,NY,Herkimer,43.03903611,-75.07025833,,,,Western Barge (canal boat),yes,,
24-Jul,7,Johnstown,NY,Montgomery,43.00819167,-74.367925,,,,,,,
25-Jul,7,"Sing Sing (village, now Ossining)",NY,Westchester,41.16268056,-73.86133333,,,,,,,
